"id","serial_number","card_name","rarity_id","set_id"
1,"1/102","Alakazam",4,112
2,"2/102","Blastoise",4,112
3,"3/102","Chansey",4,112
4,"4/102","Charizard",4,112
5,"5/102","Clefairy",4,112
6,"6/102","Gyarados",4,112
7,"7/102","Hitmonchan",4,112
8,"8/102","Machamp",4,112
9,"9/102","Magneton",4,112
10,"10/102","Mewtwo",4,112
11,"11/102","Nidoking",4,112
12,"12/102","Ninetales",4,112
13,"13/102","Poliwrath",4,112
14,"14/102","Raichu",4,112
15,"15/102","Venusaur",4,112
16,"16/102","Zapdos",4,112
17,"17/102","Beedrill",3,112
18,"18/102","Dragonair",3,112
19,"19/102","Dugtrio",3,112
20,"20/102","Electabuzz",3,112
21,"21/102","Electrode",3,112
22,"22/102","Pidgeotto",3,112
23,"23/102","Arcanine",2,112
24,"24/102","Charmeleon",2,112
25,"25/102","Dewgong",2,112
26,"26/102","Dratini",2,112
27,"27/102","Farfetch'd",2,112
28,"28/102","Growlithe",2,112
29,"29/102","Haunter",2,112
30,"30/102","Ivysaur",2,112
31,"31/102","Jynx",2,112
32,"32/102","Kadabra",2,112
33,"33/102","Kakuna",2,112
34,"34/102","Machoke",2,112
35,"35/102","Magikarp",2,112
36,"36/102","Magmar",2,112
37,"37/102","Nidorino",2,112
38,"38/102","Poliwhirl",2,112
39,"39/102","Porygon",2,112
40,"40/102","Raticate",2,112
41,"41/102","Seel",2,112
42,"42/102","Wartortle",2,112
43,"43/102","Abra",1,112
44,"44/102","Bulbasaur",1,112
45,"45/102","Caterpie",1,112
46,"46/102","Charmander",1,112
47,"47/102","Diglett",1,112
48,"48/102","Doduo",1,112
49,"49/102","Drowzee",1,112
50,"50/102","Gastly",1,112
51,"51/102","Koffing",1,112
52,"52/102","Machop",1,112
53,"53/102","Magnemite",1,112
54,"54/102","Metapod",1,112
55,"55/102","Nidoran♂",1,112
56,"56/102","Onix",1,112
57,"57/102","Pidgey",1,112
58,"58/102","Pikachu",1,112
59,"59/102","Poliwag",1,112
60,"60/102","Ponyta",1,112
61,"61/102","Rattata",1,112
62,"62/102","Sandshrew",1,112
63,"63/102","Squirtle",1,112
64,"64/102","Starmie",1,112
65,"65/102","Staryu",1,112
66,"66/102","Tangela",1,112
67,"67/102","Voltorb",1,112
68,"68/102","Vulpix",1,112
69,"69/102","Weedle",1,112
70,"70/102","Clefairy Doll",3,112
71,"71/102","Computer Search",3,112
72,"72/102","Devolution Spray",3,112
73,"73/102","Imposter Professor Oak",3,112
74,"74/102","Item Finder",3,112
75,"75/102","Lass",3,112
76,"76/102","Pokémon Breeder",3,112
77,"77/102","Pokémon Trader",3,112
78,"78/102","Scoop Up",3,112
79,"79/102","Super Energy Removal",3,112
80,"80/102","Defender",2,112
81,"81/102","Energy Retrieval",2,112
82,"82/102","Full Heal",2,112
83,"83/102","Maintenance",2,112
84,"84/102","PlusPower",2,112
85,"85/102","Pokémon Center",2,112
86,"86/102","Pokémon Flute",2,112
87,"87/102","Pokédex",2,112
88,"88/102","Professor Oak",2,112
89,"89/102","Revive",2,112
90,"90/102","Super Potion",2,112
91,"91/102","Bill",1,112
92,"92/102","Energy Removal",1,112
93,"93/102","Gust of Wind",1,112
94,"94/102","Potion",1,112
95,"95/102","Switch",1,112
96,"96/102","Double Colorless Energy",2,112
97,"97/102","Fighting Energy",NULL,NULL
98,"98/102","Fire Energy",NULL,NULL
99,"99/102","Grass Energy",NULL,NULL
100,"100/102","Lightning Energy",NULL,NULL
101,"101/102","Psychic Energy",NULL,NULL
102,"102/102","Water Energy",NULL,NULL
103,"","Clefable",4,NULL
104,"2/64","Electrode",4,NULL
105,"3/64","Flareon",4,NULL
106,"4/64","Jolteon",4,NULL
107,"5/64","Kangaskhan",4,NULL
108,"6/64","Mr. Mime",4,NULL
109,"7/64","Nidoqueen",4,NULL
110,"8/64","Pidgeot",4,NULL
111,"9/64","Pinsir",4,NULL
112,"10/64","Scyther",4,NULL
113,"11/64","Snorlax",4,NULL
114,"12/64","Vaporeon",4,NULL
115,"13/64","Venomoth",4,NULL
116,"14/64","Victreebel",4,NULL
117,"15/64","Vileplume",4,NULL
118,"16/64","Wigglytuff",4,NULL
119,"17/64","Clefable",3,NULL
120,"18/64","Electrode",3,NULL
121,"19/64","Flareon",3,NULL
122,"20/64","Jolteon",3,NULL
123,"21/64","Kangaskhan",3,NULL
124,"22/64","Mr. Mime",3,NULL
125,"23/64","Nidoqueen",3,NULL
126,"24/64","Pidgeot",3,NULL
127,"25/64","Pinsir",3,NULL
128,"26/64","Scyther",3,NULL
129,"27/64","Snorlax",3,NULL
130,"28/64","Vaporeon",3,NULL
131,"29/64","Venomoth",3,NULL
132,"30/64","Victreebel",3,NULL
133,"31/64","Vileplume",3,NULL
134,"32/64","Wigglytuff",3,NULL
135,"33/64","Butterfree",2,NULL
136,"34/64","Dodrio",2,NULL
137,"35/64","Exeggutor",2,NULL
138,"36/64","Fearow",2,NULL
139,"37/64","Gloom",2,NULL
140,"38/64","Lickitung",2,NULL
141,"39/64","Marowak",2,NULL
142,"40/64","Nidorina",2,NULL
143,"41/64","Parasect",2,NULL
144,"42/64","Persian",2,NULL
145,"43/64","Primeape",2,NULL
146,"44/64","Rapidash",2,NULL
147,"45/64","Rhydon",2,NULL
148,"46/64","Seaking",2,NULL
149,"47/64","Tauros",2,NULL
150,"48/64","Weepinbell",2,NULL
151,"49/64","Bellsprout",1,NULL
152,"50/64","Cubone",1,NULL
153,"51/64","Eevee",1,NULL
154,"52/64","Exeggcute",1,NULL
155,"53/64","Goldeen",1,NULL
156,"54/64","Jigglypuff",1,NULL
157,"55/64","Mankey",1,NULL
158,"56/64","Meowth",1,NULL
159,"57/64","Nidoran♀",1,NULL
160,"58/64","Oddish",1,NULL
161,"59/64","Paras",1,NULL
162,"60/64","Pikachu",1,NULL
163,"61/64","Rhyhorn",1,NULL
164,"62/64","Spearow",1,NULL
165,"63/64","Venonat",1,NULL
166,"64/64","Poké Ball",1,NULL
167,"1/62","Aerodactyl",4,114
168,"2/62","Articuno",4,114
169,"3/62","Ditto",4,114
170,"4/62","Dragonite",4,114
171,"5/62","Gengar",4,114
172,"6/62","Haunter",4,114
173,"7/62","Hitmonlee",4,114
174,"8/62","Hypno",4,114
175,"9/62","Kabutops",4,114
176,"10/62","Lapras",4,114
177,"11/62","Magneton",4,114
178,"12/62","Moltres",4,114
179,"13/62","Muk",4,114
180,"14/62","Raichu",4,114
181,"15/62","Zapdos",4,114
182,"16/62","Aerodactyl",3,114
183,"17/62","Articuno",3,114
184,"18/62","Ditto",3,114
185,"19/62","Dragonite",3,114
186,"20/62","Gengar",3,114
187,"21/62","Haunter",3,114
188,"22/62","Hitmonlee",3,114
189,"23/62","Hypno",3,114
190,"24/62","Kabutops",3,114
191,"25/62","Lapras",3,114
192,"26/62","Magneton",3,114
193,"27/62","Moltres",3,114
194,"28/62","Muk",3,114
195,"29/62","Raichu",3,114
196,"30/62","Zapdos",3,114
197,"31/62","Arbok",2,114
198,"32/62","Cloyster",2,114
199,"33/62","Gastly",2,114
