,serial_number,name,type,rarity,set
0,1/102,Alakazam,Psychic,Rare Holo,Base Set 
1,2/102,Blastoise,Water,Rare Holo,Base Set 
2,3/102,Chansey,Colorless,Rare Holo,Base Set 
3,4/102,Charizard,Fire,Rare Holo,Base Set 
4,5/102,Clefairy,Colorless,Rare Holo,Base Set 
5,6/102,Gyarados,Water,Rare Holo,Base Set 
6,7/102,Hitmonchan,Fighting,Rare Holo,Base Set 
7,8/102,Machamp,Fighting,Rare Holo,Base Set 
8,9/102,Magneton,Lightning,Rare Holo,Base Set 
9,10/102,Mewtwo,Psychic,Rare Holo,Base Set 
10,11/102,Nidoking,Grass,Rare Holo,Base Set 
11,12/102,Ninetales,Fire,Rare Holo,Base Set 
12,13/102,Poliwrath,Water,Rare Holo,Base Set 
13,14/102,Raichu,Lightning,Rare Holo,Base Set 
14,15/102,Venusaur,Grass,Rare Holo,Base Set 
15,16/102,Zapdos,Lightning,Rare Holo,Base Set 
16,17/102,Beedrill,Grass,Rare,Base Set 
17,18/102,Dragonair,Colorless,Rare,Base Set 
18,19/102,Dugtrio,Fighting,Rare,Base Set 
19,20/102,Electabuzz,Lightning,Rare,Base Set 
20,21/102,Electrode,Lightning,Rare,Base Set 
21,22/102,Pidgeotto,Colorless,Rare,Base Set 
22,23/102,Arcanine,Fire,Uncommon,Base Set 
23,24/102,Charmeleon,Fire,Uncommon,Base Set 
24,25/102,Dewgong,Water,Uncommon,Base Set 
25,26/102,Dratini,Colorless,Uncommon,Base Set 
26,27/102,Farfetch'd,Colorless,Uncommon,Base Set 
27,28/102,Growlithe,Fire,Uncommon,Base Set 
28,29/102,Haunter,Psychic,Uncommon,Base Set 
29,30/102,Ivysaur,Grass,Uncommon,Base Set 
30,31/102,Jynx,Psychic,Uncommon,Base Set 
31,32/102,Kadabra,Psychic,Uncommon,Base Set 
32,33/102,Kakuna,Grass,Uncommon,Base Set 
33,34/102,Machoke,Fighting,Uncommon,Base Set 
34,35/102,Magikarp,Water,Uncommon,Base Set 
35,36/102,Magmar,Fire,Uncommon,Base Set 
36,37/102,Nidorino,Grass,Uncommon,Base Set 
37,38/102,Poliwhirl,Water,Uncommon,Base Set 
38,39/102,Porygon,Colorless,Uncommon,Base Set 
39,40/102,Raticate,Colorless,Uncommon,Base Set 
40,41/102,Seel,Water,Uncommon,Base Set 
41,42/102,Wartortle,Water,Uncommon,Base Set 
42,43/102,Abra,Psychic,Common,Base Set 
43,44/102,Bulbasaur,Grass,Common,Base Set 
44,45/102,Caterpie,Grass,Common,Base Set 
45,46/102,Charmander,Fire,Common,Base Set 
46,47/102,Diglett,Fighting,Common,Base Set 
47,48/102,Doduo,Colorless,Common,Base Set 
48,49/102,Drowzee,Psychic,Common,Base Set 
49,50/102,Gastly,Psychic,Common,Base Set 
50,51/102,Koffing,Grass,Common,Base Set 
51,52/102,Machop,Fighting,Common,Base Set 
52,53/102,Magnemite,Lightning,Common,Base Set 
53,54/102,Metapod,Grass,Common,Base Set 
54,55/102,Nidoran♂,Grass,Common,Base Set 
55,56/102,Onix,Fighting,Common,Base Set 
56,57/102,Pidgey,Colorless,Common,Base Set 
57,58/102,Pikachu,Lightning,Common,Base Set 
58,59/102,Poliwag,Water,Common,Base Set 
59,60/102,Ponyta,Fire,Common,Base Set 
60,61/102,Rattata,Colorless,Common,Base Set 
61,62/102,Sandshrew,Fighting,Common,Base Set 
62,63/102,Squirtle,Water,Common,Base Set 
63,64/102,Starmie,Water,Common,Base Set 
64,65/102,Staryu,Water,Common,Base Set 
65,66/102,Tangela,Grass,Common,Base Set 
66,67/102,Voltorb,Lightning,Common,Base Set 
67,68/102,Vulpix,Fire,Common,Base Set 
68,69/102,Weedle,Grass,Common,Base Set 
69,70/102,Clefairy Doll,T,Rare,Base Set 
70,71/102,Computer Search,T,Rare,Base Set 
71,72/102,Devolution Spray,T,Rare,Base Set 
72,73/102,Imposter Professor Oak,T,Rare,Base Set 
73,74/102,Item Finder,T,Rare,Base Set 
74,75/102,Lass,T,Rare,Base Set 
75,76/102,Pokémon Breeder,T,Rare,Base Set 
76,77/102,Pokémon Trader,T,Rare,Base Set 
77,78/102,Scoop Up,T,Rare,Base Set 
78,79/102,Super Energy Removal,T,Rare,Base Set 
79,80/102,Defender,T,Uncommon,Base Set 
80,81/102,Energy Retrieval,T,Uncommon,Base Set 
81,82/102,Full Heal,T,Uncommon,Base Set 
82,83/102,Maintenance,T,Uncommon,Base Set 
83,84/102,PlusPower,T,Uncommon,Base Set 
84,85/102,Pokémon Center,T,Uncommon,Base Set 
85,86/102,Pokémon Flute,T,Uncommon,Base Set 
86,87/102,Pokédex,T,Uncommon,Base Set 
87,88/102,Professor Oak,T,Uncommon,Base Set 
88,89/102,Revive,T,Uncommon,Base Set 
89,90/102,Super Potion,T,Uncommon,Base Set 
90,91/102,Bill,T,Common,Base Set 
91,92/102,Energy Removal,T,Common,Base Set 
92,93/102,Gust of Wind,T,Common,Base Set 
93,94/102,Potion,T,Common,Base Set 
94,95/102,Switch,T,Common,Base Set 
95,96/102,Double Colorless Energy,Colorless,Uncommon,Base Set 
96,97/102,Fighting Energy,Fighting,NULL,Base Set 
97,98/102,Fire Energy,Fire,NULL,Base Set 
98,99/102,Grass Energy,Grass,NULL,Base Set 
99,100/102,Lightning Energy,Lightning,NULL,Base Set 
100,101/102,Psychic Energy,Psychic,NULL,Base Set 
101,102/102,Water Energy,Water,NULL,Base Set 
102,1/64,Clefable,Colorless,Rare Holo,Jungle 
103,2/64,Electrode,Lightning,Rare Holo,Jungle 
104,3/64,Flareon,Fire,Rare Holo,Jungle 
105,4/64,Jolteon,Lightning,Rare Holo,Jungle 
106,5/64,Kangaskhan,Colorless,Rare Holo,Jungle 
107,6/64,Mr. Mime,Psychic,Rare Holo,Jungle 
108,7/64,Nidoqueen,Grass,Rare Holo,Jungle 
109,8/64,Pidgeot,Colorless,Rare Holo,Jungle 
110,9/64,Pinsir,Grass,Rare Holo,Jungle 
111,10/64,Scyther,Grass,Rare Holo,Jungle 
112,11/64,Snorlax,Colorless,Rare Holo,Jungle 
113,12/64,Vaporeon,Water,Rare Holo,Jungle 
114,13/64,Venomoth,Grass,Rare Holo,Jungle 
115,14/64,Victreebel,Grass,Rare Holo,Jungle 
116,15/64,Vileplume,Grass,Rare Holo,Jungle 
117,16/64,Wigglytuff,Colorless,Rare Holo,Jungle 
